Bathing Water,Lat,Long,Water Company ,Classification
Hartland Quay,50.9955446624716,-4.53367543882316,South West Water Limited,Excellent
Hastings Pelham Beach,50.8535481295427,0.585766467133833,Southern Water Services Limited,Good
Haverigg,54.1890700507472,-3.28882375455891,United Utilities Water Limited,Good
Hayle Towans,50.2047682940131,-5.41701497977548,South West Water Limited,Excellent
Heacham,52.9092042364551,0.47149809252374,Anglian Water Services Limited,Poor
Hemsby,52.6952681733587,1.71007376962362,Anglian Water Services Limited,Excellent
Henleaze Lake,51.4946241931076,-2.60570469108093,Wessex Water Services Limited,Good
Herne Bay,51.3743637332956,1.13950355047236,Southern Water Services Limited,Excellent
Herne Bay Central,51.3720466073964,1.11850745016388,Southern Water Services Limited,Good
Highcliffe,50.7369968975496,-1.69848882701321,Southern Water Services Limited,Excellent
Hillhead,50.8134568815832,-1.22539192112877,Southern Water Services Limited,Good
Hive,50.6962649935347,-2.72323664973336,Wessex Water Services Limited,Excellent
Holland,51.8132012147031,1.22579854706484,Anglian Water Services Limited,Excellent
Hollicombe,50.4488175353543,-3.55351938394781,South West Water Limited,Good
Holywell Bay,50.3919113546784,-5.1455057863139,South West Water Limited,Excellent
Hope Cove,50.2426503738911,-3.85911026105057,South West Water Limited,Excellent
Hornsea,53.9140984449623,-0.160491171265782,Yorkshire Water Services Limited,Good
Hove,50.8232281803046,-0.16672315444046,Southern Water Services Limited,Excellent
Humberston Fitties,53.5351901275229,0.008380462066923,Anglian Water Services Limited,Good
Hunstanton (Old Hunstanton),52.953642084641,0.496364280806723,Anglian Water Services Limited,Good
Hunstanton Main Beach,52.936821736507,0.483787390916709,Anglian Water Services Limited,Sufficient
Hythe,51.0646916927223,1.08137696303459,Southern Water Services Limited,Excellent
Ilfracombe Hele,51.2108656669018,-4.0972915813212,South West Water Limited,Good
Ilfracombe Tunnels Beach,51.210459434379,-4.12725441460376,South West Water Limited,Excellent
Ilfracombe Wildersmouth,51.2105276899336,-4.12151613905344,South West Water Limited,#N/A
Ingoldmells South,53.19393,0.35387,Anglian Water Services Limited,Excellent
Instow,51.0529219112311,-4.18192398262648,South West Water Limited,#N/A
Jaywick,51.772629737974,1.1127180240145,Anglian Water Services Limited,Good
"Joss Bay, Broadstairs",51.3792230675941,1.44610563272459,Southern Water Services Limited,Excellent
Kennack Sands,50.0051345550698,-5.16357592477975,South West Water Limited,Excellent
Kimmeridge Bay,50.6114938804878,-2.13142387605586,Wessex Water Services Limited,Excellent
Kingsand,50.3336128930897,-4.19937582310552,South West Water Limited,Excellent
Ladram Bay,50.6586051443979,-3.27955125815206,South West Water Limited,Good
"Lancing, Beach Green",50.8198803418111,-0.321958811608509,Southern Water Services Limited,Good
Lee-on-Solent,50.8009768984075,-1.20428418783655,Southern Water Services Limited,Excellent
Leigh Bell Wharf,51.5390298429933,0.652527405156226,Anglian Water Services Limited,Good
Lepe,50.784296871071,-1.35453444846381,Southern Water Services Limited,Excellent
Leysdown,51.4001551077808,0.921786154741231,Southern Water Services Limited,Excellent
Littlehampton,50.8022939014127,-0.538868986381269,Southern Water Services Limited,Good
Littlestone,50.976799654129,0.96726860468507,Southern Water Services Limited,Good
Long Rock,50.1263574538717,-5.51805830864849,South West Water Limited,Good
Low Newton,55.5132163987303,-1.61551676459494,Northumbrian Water Limited,Excellent
Lowestoft (North of Claremont Pier),52.4683066878659,1.74874459923372,Anglian Water Services Limited,Excellent
Lowestoft (South of Claremont Pier),52.4638869856628,1.74515820945775,Anglian Water Services Limited,Good
Lulworth Cove,50.6189357765588,-2.24934733320746,Wessex Water Services Limited,Excellent
Lusty Glaze,50.4217696277222,-5.06497385525916,South West Water Limited,Excellent
Lyme Regis Church Cliff Beach,50.7250478024008,-2.9303269563221,South West Water Limited,#N/A
Lyme Regis Front Beach,50.7225059921167,-2.93778501225405,South West Water Limited,Good
Lynmouth,51.2316903847566,-3.82448058712367,South West Water Limited,Excellent
Mablethorpe Town,53.3441337592485,0.264365936524175,Anglian Water Services Limited,Excellent
Maenporth,50.1249624436234,-5.09353481382533,South West Water Limited,Good
Maidencombe,50.5064562259524,-3.51338465782657,South West Water Limited,Excellent
Marazion,50.1265050340743,-5.480736172252,South West Water Limited,Good
Margate Fulsam Rock,51.3926832590616,1.38649991630989,Southern Water Services Limited,Excellent
Margate The Bay,51.3877045480062,1.37575225993371,Southern Water Services Limited,Excellent
Marsden,54.978017896067,-1.3765981797728,Northumbrian Water Limited,Sufficient
Marske Sands,54.5999919286241,-1.01707668794072,Northumbrian Water Limited,Good
Mawgan Porth,50.4674853014895,-5.03340112417438,South West Water Limited,Excellent
Meadfoot,50.457100334341,-3.50920608022892,South West Water Limited,Excellent
Meols,53.4065842825349,-3.15974278713184,United Utilities Water Limited,Excellent
Mexico Towans,50.2010542679701,-5.42374749148339,South West Water Limited,Excellent
Middleton-on-sea,50.7902,-0.6039,Southern Water Services Limited,Excellent
Milford-on-sea,50.725,-1.6106,Southern Water Services Limited,Excellent
Mill Bay,50.2300039657805,-3.76694720248013,South West Water Limited,Excellent
Millendreath,50.3610883752151,-4.43630361658836,South West Water Limited,Good
Minehead Terminus,51.207581440661,-3.46705613745907,Wessex Water Services Limited,Good
"Minnis Bay, Birchington",51.3803038326327,1.28364552660244,Southern Water Services Limited,Excellent
Minster Leas,51.4329444250857,0.805284292770524,Southern Water Services Limited,Excellent
Moggs Eye,53.273002875866,0.318438394444607,Anglian Water Services Limited,Excellent
Morecambe North,54.0774517391814,-2.86074604518309,United Utilities Water Limited,Good
Morecambe South,54.0728262826181,-2.87646762415598,United Utilities Water Limited,Good
Moreton,53.417756050842,-3.11942028040805,United Utilities Water Limited,Excellent
Mothecombe,50.3095964397627,-3.9527590608114,South West Water Limited,Good
Mother Ivey`s Bay,50.5441430460904,-5.01545210516686,South West Water Limited,Excellent
Mundesley,52.8769429465284,1.44174118339281,Anglian Water Services Limited,Excellent
Ness Cove,50.5361159346401,-3.4981762447304,South West Water Limited,Excellent
Newbiggin North,55.1844121199812,-1.51032560822061,Northumbrian Water Limited,Excellent
Newbiggin South,55.1788586358132,-1.51479031216353,Northumbrian Water Limited,Good
Norman`s Bay,50.8228241604064,0.386655849632203,Southern Water Services Limited,Good
Northcott Mouth,50.8479754597421,-4.55691218098033,South West Water Limited,Excellent
Oddicombe,50.4824686796969,-3.51488751237418,South West Water Limited,Excellent
