edm_name,bathing_name,edm_name
Lyme Regis Front Beach,Lyme Regis Front Beach,
Lyme Regis Front Beach,Lyme Regis Front Beach,
Lyme Regis Front Beach,Lyme Regis Front Beach,
Lyme Regis Front Beach,Lyme Regis Front Beach,
Lyme Regis Front Beach,Lyme Regis Front Beach,
Lyme Regis Front Beach,Lyme Regis Front Beach,
LYME REGIS FRONT BEACH,Lyme Regis Front Beach,
LYNMOUTH BEACH,Lynmouth,LYNMOUTH BEACH
LYNMOUTH BEACH,Lynmouth,LYNMOUTH BEACH
LYNMOUTH BEACH,Lynmouth,LYNMOUTH BEACH
LYNMOUTH BEACH,Lynmouth,LYNMOUTH BEACH
LYNMOUTH BEACH,Lynmouth,LYNMOUTH BEACH
MAENPORTH BEACH,Maenporth,MAENPORTH BEACH
"MARGATE FULSAM ROCK, MARGATE THE BAY, ST MILDREDS BAY WESTGATE, WALPOLE BAY MARGATE, WEST BAY WESTGATE, WESTBROOK BAY MARGATE",Margate Fulsam Rock,"MARGATE FULSAM ROCK, MARGATE THE BAY, ST MILDREDS BAY WESTGATE, WALPOLE BAY MARGATE, WEST BAY WESTGATE, WESTBROOK BAY MARGATE"
"MARGATE FULSAM ROCK, MARGATE THE BAY, ST MILDREDS BAY WESTGATE, WALPOLE BAY MARGATE, WEST BAY WESTGATE, WESTBROOK BAY MARGATE",Margate Fulsam Rock,"MARGATE FULSAM ROCK, MARGATE THE BAY, ST MILDREDS BAY WESTGATE, WALPOLE BAY MARGATE, WEST BAY WESTGATE, WESTBROOK BAY MARGATE"
"MARGATE FULSAM ROCK, MARGATE THE BAY, ST MILDREDS BAY WESTGATE, WALPOLE BAY MARGATE, WEST BAY WESTGATE, WESTBROOK BAY MARGATE",Margate Fulsam Rock,"MARGATE FULSAM ROCK, MARGATE THE BAY, ST MILDREDS BAY WESTGATE, WALPOLE BAY MARGATE, WEST BAY WESTGATE, WESTBROOK BAY MARGATE"
Marsden,Marsden,
Marske Sands,Marske Sands,
Marske Sands,Marske Sands,
Marske Sands,Marske Sands,
Marske Sands,Marske Sands,
Marske Sands,Marske Sands,
Marske Sands,Marske Sands,
Marske Sands,Marske Sands,
MAWGAN PORTH BEACH,Mawgan Porth,MAWGAN PORTH BEACH
MAWGAN PORTH BEACH,Mawgan Porth,MAWGAN PORTH BEACH
MEADFOOT BEACH,Meadfoot,MEADFOOT BEACH
MEADFOOT BEACH,Meadfoot,MEADFOOT BEACH
Meols,Meols,
Meols,Meols,
Meols,Meols,
"Meols, Moreton and Wallasey",Meols,"Meols, Moreton and Wallasey"
"Meols; Moreton; Wallasey",Meols,
MILL BAY BEACH,Mill Bay,MILL BAY BEACH
MILL BAY BEACH,Mill Bay,MILL BAY BEACH
MILLENDREATH BEACH,Millendreath,MILLENDREATH BEACH
MINEHEAD TERMINUS,Minehead Terminus,
MINEHEAD TERMINUS,Minehead Terminus,
MINEHEAD TERMINUS,Minehead Terminus,
MINEHEAD TERMINUS,Minehead Terminus,
MINSTER LEAS,Minster Leas,
"MINSTER LEAS, SHEERNESS",Minster Leas,"MINSTER LEAS, SHEERNESS"
"MINSTER LEAS, SHEERNESS",Minster Leas,"MINSTER LEAS, SHEERNESS"
"MINSTER LEAS, SHEERNESS",Minster Leas,"MINSTER LEAS, SHEERNESS"
Morecambe North and Morecambe South,Morecambe North,Morecambe North and Morecambe South
Morecambe North and Morecambe South,Morecambe North,Morecambe North and Morecambe South
Morecambe North and Morecambe South,Morecambe North,Morecambe North and Morecambe South
Morecambe North,Morecambe North,
Morecambe North,Morecambe North,
Morecambe North and Morecambe South,Morecambe North,Morecambe North and Morecambe South
Morecambe North and Morecambe South,Morecambe North,Morecambe North and Morecambe South
Morecambe North and Morecambe South,Morecambe North,Morecambe North and Morecambe South
Morecambe North and Morecambe South,Morecambe North,Morecambe North and Morecambe South
Morecambe North and Morecambe South,Morecambe North,Morecambe North and Morecambe South
Morecambe North and Morecambe South,Morecambe North,Morecambe North and Morecambe South
Morecambe North and Morecambe South,Morecambe North,Morecambe North and Morecambe South
Morecambe North and Morecambe South,Morecambe North,Morecambe North and Morecambe South
Morecambe North and Morecambe South,Morecambe North,Morecambe North and Morecambe South
"Morecambe North; Morecambe South",Morecambe North,
Morecambe South,Morecambe South,
Morecambe South,Morecambe South,
Morecambe South,Morecambe South,
Morecambe South,Morecambe South,
Morecambe South,Morecambe South,
Morecambe South,Morecambe South,
Morecambe South,Morecambe South,
Morecambe South,Morecambe South,
Morecambe South,Morecambe South,
Morecambe South,Morecambe South,
Morecambe South,Morecambe South,
